idArticle;artType;artBrand;artDescription;artPrice;fkSupplier
;Portable et Tablette;Acer;Acer Aspire E1-531;449;
;Portable et Tablette;Acer;Acer Aspire E1-571;499;
;Portable et Tablette;Acer;Acer Aspire One 270;299;
;Portable et Tablette;Acer;Acer Aspire One 725 Black;399;
;Système PC;Acer;Acer Aspire Revo 100;649;
;Système PC;Acer;Acer Aspire Revo RL70;459;
;Portable et Tablette;Acer;Acer Aspire S3 -391;799;
;Portable et Tablette;Acer;Acer Aspire S3 -951;1111;
;Portable et Tablette;Acer;Acer Aspire S3-391;899;
;Portable et Tablette;Acer;Acer Aspire S5 -391;1029;
;Portable et Tablette;Acer;Acer Aspire S7-391;1699;
;Portable et Tablette;Acer;Acer Aspire V3-571;599;
;Portable et Tablette;Acer;Acer Aspire V3-571G;899;
;Portable et Tablette;Acer;Acer Aspire V3-731;549;
;Portable et Tablette;Acer;Acer Aspire V3-771;699;
;Portable et Tablette;Acer;Acer Aspire V3-771G;999;
;Portable et Tablette;Acer;Acer Aspire V5-571;599;
;Portable et Tablette;Acer;Acer Aspire V5-571P;999;
;Beamer;Acer;Acer C120;269;
;Pc all in One;Acer;Acer D241Hbmi;199;
;Beamer;Acer;Acer H5360BD;689;
;Beamer;Acer;Acer H7531D;959;
;Beamer;Acer;Acer H9500;1499;
;Portable et Tablette;Acer;Acer Iconia A200;389;
;Portable et Tablette;Acer;Acer Iconia A510;419;
;Portable et Tablette;Acer;Acer Iconia W510;699;
;Portable et Tablette;Acer;Acer Iconia W700;799;
;Beamer;Acer;Acer K130;499;
;Beamer;Acer;Acer K330;579;
;Beamer;Acer;Acer K520;1099;
;Beamer;Acer;Acer P1320W;579;
;Beamer;Acer;Acer P5280;599;
;Beamer;Acer;Acer X1211;399;
;Beamer;Acer;Acer X1311KW;499;
;Portable et Tablette;Amazon;Amazon Kindle Fire HD 16GB;279;
;Cpu;AMD;AMD A10-5700;139.9;
;Cpu;AMD;AMD A10-5800K;139.9;
;Cpu;AMD;AMD A4-3300;64;
;Cpu;AMD;AMD A4-3400;68;
;Cpu;AMD;AMD A4-5300;58;
;Cpu;AMD;AMD A6-3500;79.9;
;Cpu;AMD;AMD A6-3670K;91;
;Cpu;AMD;AMD A6-5400K;79.9;
;Cpu;AMD;AMD A8-3800;99;
;Cpu;AMD;AMD A8-3850;104;
;Cpu;AMD;AMD A8-3870K;107;
;Cpu;AMD;AMD A8-5500;119.9;
;Cpu;AMD;AMD A8-5600K;115;
;Cpu;AMD;AMD Athlon II X4 641;84.9;
;Cpu;AMD;AMD Athlon II X4 651K;101;
;Mémoire vive;AMD;AMD DDR3 1333MHz 2GB;15;
;Mémoire vive;AMD;AMD DDR3 1333MHz 4GB;24;
;Mémoire vive;AMD;AMD DDR3 1333MHz 4GB Kit;29.9;
;Mémoire vive;AMD;AMD DDR3 1600MHz 2GB;15;
;Mémoire vive;AMD;AMD DDR3 1600MHz 4GB;29;
;Mémoire vive;AMD;AMD DDR3 1600MHz 4GB Kit;29;
;Cpu;AMD;AMD FX-4100;114.9;
;Cpu;AMD;AMD FX-4170;134.9;
;Cpu;AMD;AMD FX-4300;135;
;Cpu;AMD;AMD FX-6100;125;
;Cpu;AMD;AMD FX-6200;149.9;
;Cpu;AMD;AMD FX-6300;148;
;Cpu;AMD;AMD FX-8120;169;
;Cpu;AMD;AMD FX-8150;199.9;
;Cpu;AMD;AMD FX-8150 WC;272;
;Cpu;AMD;AMD FX-8320;188;
;Cpu;AMD;AMD FX-8350;214.9;
;Cpu;AMD;AMD X4 740;79.9;
;Cpu;AMD;AMD X4 750K Black Ed.;89.9;
;Mémoire vive;Apacer;Apacer DDR ECC REG 400MHz;129;
;Mémoire vive;Apacer;Apacer DDR2 667MHz 512MB;9.9;
;Mémoire vive;Apacer;Apacer DDR2 ECC 533MHz;154.9;
;Mémoire vive;Apacer;Apacer DDR3 1333MHz 6GB Kit;69.9;
;Mémoire vive;Apacer;Apacer SO-DDR3 1333MHz 1GB;9.9;
;Pc all in One;Apple;"Apple iMac 21.5""";1499;
;Pc all in One;Apple;"Apple iMac 27""";2049;
;Portable et Tablette;Apple;Apple iPad 16GB 4G Black;699;
;Portable et Tablette;Apple;Apple iPad 16GB 4G White;659;
;Portable et Tablette;Apple;Apple iPad 16GB Black;559;
;Portable et Tablette;Apple;Apple iPad 16GB White;529;
;Portable et Tablette;Apple;Apple iPad 2 16GB 3G White;549;
;Portable et Tablette;Apple;Apple iPad 2 16GB Black;419;
;Portable et Tablette;Apple;Apple iPad 2 32GB 3G Black;655;
;Portable et Tablette;Apple;Apple iPad 32GB 4G Black;734;
;Portable et Tablette;Apple;Apple iPad 32GB 4G White;799;
;Portable et Tablette;Apple;Apple iPad 32GB Black;629;
;Portable et Tablette;Apple;Apple iPad 32GB White;629;
;Portable et Tablette;Apple;Apple iPad 64GB 4G Black;899;
;Portable et Tablette;Apple;Apple iPad 64GB 4G White;822;
;Portable et Tablette;Apple;Apple iPad 64GB Black;759;
;Portable et Tablette;Apple;Apple iPad 64GB White;729;
;Portable et Tablette;Apple;Apple iPad mini 16GB 4G BL;519;
;Portable et Tablette;Apple;Apple iPad mini 16GB 4G WH;519;
;Portable et Tablette;Apple;Apple iPad mini 16GB Black;379;
;Portable et Tablette;Apple;Apple iPad mini 16GB White;379;
;Portable et Tablette;Apple;Apple iPad mini 32GB 4G BL;619;
;Portable et Tablette;Apple;Apple iPad mini 32GB 4G WH;619;
;Portable et Tablette;Apple;Apple iPad mini 32GB Black;479;
;Portable et Tablette;Apple;Apple iPad mini 32GB White;479;
;Portable et Tablette;Apple;Apple iPad mini 64GB 4G BL;719;
;Portable et Tablette;Apple;Apple iPad mini 64GB 4G WH;719;
;Portable et Tablette;Apple;Apple iPad mini 64GB Black;579;
;Portable et Tablette;Apple;Apple iPad mini 64GB White;579;
;Système PC;Apple;Apple Mac mini;699;
;Portable et Tablette;Apple;"Apple MacBook Air 11""";1149;
;Portable et Tablette;Apple;"Apple MacBook Air 13""";1349;
;Portable et Tablette;Apple;"Apple MacBook Pro 13""";1349;
;Portable et Tablette;Apple;"Apple MacBook Pro 15.4""";2049;
;Portable et Tablette;Archos;Archos 80 G9 Tablets;259;
;Portable et Tablette;Archos;Archos Arnova 10b G2 - 8GB;199;
;Portable et Tablette;Archos;Archos Arnova 10b G3;219;
;Portable et Tablette;Archos;Archos Arnova 7d G3;119;
;Portable et Tablette;Archos;Archos Childpad;149;
;Carte mère;Asrock;Asrock AD2700-ITX;92;
;Carte mère;Asrock;Asrock E350M1/USB3;99.9;
;Carte mère;Asrock;Asrock FM2A75 Pro4-M;74.9;
